date,pm25,temp_mean,humidity_mean,wind_speed_mean,precip_mm,traffic_volume,weekday,is_weekend,traffic_level
2023-06-17,24.60269611764706,21.0,,7.0,0.0,76679,5,True,high
2023-06-18,17.6958335,22.6,,8.5,0.7,187218,6,True,high
2023-06-19,8.147395875,21.8,,12.4,0.2,39815,0,False,high
2023-06-20,6.589880928571428,20.7,,13.4,0.0,6671,1,False,low
2023-06-21,4.3890625,19.2,,20.7,0.0,27147,2,False,high
2023-06-22,4.948437375,18.6,,20.5,1.0,27494,3,False,high
2023-06-23,6.471813705882353,19.5,,9.9,1.8,9246,4,False,low
2023-06-24,9.4671875,22.2,,4.9,2.0,28149,5,True,high
2023-06-25,11.2770835,23.8,,6.3,0.3,28872,6,True,high
2023-06-26,11.269047714285716,22.7,,9.8,22.9,15880,0,False,high
2023-06-27,10.51354175,22.2,,6.9,13.5,40737,1,False,high
2023-06-28,14.2729165,23.4,,5.0,0.0,9345,2,False,low
2023-06-29,34.19117647058823,23.7,,6.1,0.4,7354,3,False,low
2023-06-30,61.553125,24.4,,7.1,0.6,49255,4,False,high
2023-07-01,36.484375,23.6,,10.7,0.2,70630,5,True,high
2023-07-02,21.807142857142857,24.9,,6.7,7.6,91903,6,True,high
2023-07-30,4.11375,23.8,,7.2,0.0,6649,6,True,low
2023-07-31,5.9895833,24.3,,9.2,0.4,2797,0,False,low
2023-08-02,3.9479167,23.2,,10.3,0.4,4290,2,False,low
2023-08-03,4.456721,22.6,,13.8,0.6,12132,3,False,high
2023-08-04,12.44586194736842,22.8,,14.5,0.0,750,4,False,low
2023-08-05,17.15875,25.5,,7.1,1.9,21336,5,True,high
2023-08-06,17.785416599999998,25.6,,11.0,0.0,2017,6,True,low
2023-08-07,11.81578125,23.9,,12.1,17.0,2814,0,False,low
2023-08-08,5.004461222222222,23.7,,14.1,1.6,195,1,False,low
2023-08-09,11.5933332,25.7,,11.3,0.2,2615,2,False,low
2023-08-10,12.429275055555555,23.3,,6.5,11.4,1352,3,False,low
2023-08-11,13.018872555555555,24.6,,10.9,0.0,5950,4,False,low
2023-08-12,11.145,25.4,,10.4,0.3,4922,5,True,low
2023-09-08,12.3058333,25.9,,7.4,7.4,510,4,False,low
2023-09-09,12.669517578947367,25.5,,4.4,0.5,3927,5,True,low
2023-09-10,7.22875,23.6,,6.5,30.0,2878,6,True,low
2023-09-11,6.2270834,24.3,,8.5,20.0,78,0,False,low
2023-09-18,5.5291666875,19.3,,7.2,29.9,6359,0,False,low
2023-09-19,6.87,19.9,,10.9,0.0,9907,1,False,low
2023-09-20,6.3404166,20.7,,8.3,0.0,6390,2,False,low
2023-09-21,6.333552684210527,20.3,,7.8,0.0,3941,3,False,low
2023-09-22,5.8708334,19.7,,16.4,0.0,3462,4,False,low
2023-10-01,12.1408333,20.8,,6.3,0.0,238,6,True,low
2023-10-02,12.21,21.6,,7.7,0.0,12507,0,False,high
2023-10-03,14.463425888888889,21.6,,5.7,0.0,5747,1,False,low
2023-10-04,15.273814272727272,22.3,,7.3,0.0,10046,2,False,low
2023-10-05,9.5334601,20.6,,6.9,0.0,10235,3,False,high
2023-10-06,8.6322916875,20.6,,9.4,2.8,7733,4,False,low
2023-10-08,2.878645875,13.8,,22.4,0.0,596,6,True,low
2023-10-09,4.49947925,13.8,,17.3,0.0,10791,0,False,high
2023-10-10,7.751111222222223,15.1,,10.9,0.0,9679,1,False,low
2023-10-15,2.9495613684210524,13.8,,7.1,2.1,4231,6,True,low
2023-10-16,2.38,14.2,,8.8,0.1,14321,0,False,high
2023-10-17,4.9266667,14.9,,5.9,0.0,129809,1,False,high
2023-10-18,7.117708375,15.7,,5.8,0.1,56076,2,False,high
2023-10-19,7.556666699999999,15.2,,10.1,0.0,119588,3,False,high
2023-10-20,5.900926,16.6,,10.0,20.3,37329,4,False,high
2023-10-21,3.652962944444445,16.1,,8.8,3.2,72646,5,True,high
2023-10-22,2.2895834,13.3,,13.9,0.0,28396,6,True,high
2023-10-23,3.3845833999999995,13.2,,5.0,0.0,31817,0,False,high
2023-10-24,6.078125,14.9,,8.9,0.0,92500,1,False,high
2023-10-25,9.595370333333332,17.0,,12.0,0.0,63285,2,False,high
2023-10-26,13.6507143,19.9,,8.3,0.0,36217,3,False,high
2023-10-27,14.619079,19.3,,8.7,0.1,38708,4,False,high
2023-10-28,9.0541667,21.7,,9.2,0.0,22672,5,True,high
2023-10-29,2.8784901111111107,14.0,,16.7,6.0,15376,6,True,high
2023-10-30,6.2946259375,13.7,,8.2,0.1,19160,0,False,high
2023-10-31,2.89427075,10.9,,9.2,0.2,23959,1,False,high
2023-11-01,5.147916700000001,9.3,,8.6,1.9,9222,2,False,low
2023-11-02,4.5412280526315785,7.4,,10.8,0.0,45626,3,False,high
2023-11-03,6.647523100000001,10.0,,13.8,0.0,36383,4,False,high
2023-11-04,12.1354167,11.8,,9.2,0.0,17210,5,True,high
2023-11-05,14.82734375,13.9,,5.9,0.0,30726,6,True,high
2023-11-06,7.6894203,11.4,,10.0,0.0,3086,0,False,low
2023-11-14,5.442402,9.6,,7.9,0.0,12345,1,False,high
2023-11-15,5.993229125,9.3,,10.9,0.0,20326,2,False,high
2023-11-16,17.231249875,12.9,,8.9,0.0,2242,3,False,low
2023-12-02,23.39313723529412,10.2,,7.6,0.0,19860,5,True,high
2023-12-03,9.087499875,9.5,,15.8,19.0,6248,6,True,low
2023-12-04,4.90364575,8.7,,14.2,0.0,5518,0,False,low
2023-12-05,3.936309571428571,5.7,,8.8,0.0,9482,1,False,low
2023-12-06,3.652604125,4.4,,9.5,0.0,9291,2,False,low
2023-12-07,10.859259333333334,2.5,,12.2,0.0,12276,3,False,high
2023-12-08,15.120175421052632,6.9,,8.6,0.0,9851,4,False,low
2023-12-09,18.9487501,10.5,,5.8,0.0,907,5,True,low
2023-12-10,11.8624999,13.5,,5.9,20.4,2676,6,True,low
