date,pm25
2023-01-01,6.90364575
2023-01-02,10.332291625
2023-01-03,20.8105556
2023-01-04,17.2810235
2023-01-05,7.376041625
2023-01-06,7.146323529411765
2023-01-07,5.355729125
2023-01-08,5.494270875
2023-01-09,9.529444466666666
2023-01-10,10.5046875
2023-01-11,6.49791675
2023-01-12,8.1361979375
2023-01-13,9.748958375
2023-01-14,4.040104125
2023-01-15,4.086388933333334
2023-01-16,4.546874875
2023-01-17,8.296354125
2023-01-18,8.0596354375
2023-01-19,5.02239575
2023-01-20,4.817210125
2023-01-21,3.0349999999999997
2023-01-22,9.496875
2023-01-23,3.84583325
2023-01-24,5.959803882352941
2023-01-25,8.143749875
2023-01-26,4.277083375
2023-01-27,7.1197222
2023-01-28,7.09322925
2023-01-29,9.3890625
2023-01-30,13.609068588235294
2023-01-31,6.9546875
2023-02-01,6.059375
2023-02-02,11.602500066666666
2023-02-03,6.109895875
2023-02-04,3.738020875
2023-02-05,9.262500000000001
2023-02-06,11.931770875
2023-02-07,10.62447925
2023-02-08,13.631666666666666
2023-02-09,17.663768
2023-02-10,7.04322925
2023-02-11,3.701302125
2023-02-12,10.756770750000001
2023-02-13,6.933854125
2023-02-14,5.857222266666667
2023-02-15,8.322916750000001
2023-02-16,13.8296875
2023-02-17,9.2171875
2023-02-18,5.220833375
2023-02-19,10.7708335
2023-02-20,9.269722266666667
2023-02-21,11.117187375
2023-02-22,9.771354
2023-02-23,6.9546875
2023-02-24,6.125
2023-02-25,4.825
2023-02-26,17.995
2023-02-27,6.7682291249999995
2023-02-28,6.397916625
2023-03-01,7.822794117647059
2023-03-02,10.882812625
2023-03-03,4.529687375
2023-03-04,3.218611066666667
2023-03-05,5.100520875
2023-03-06,4.808333375
2023-03-07,3.253676411764706
2023-03-08,2.8671875
2023-03-09,3.79784875
2023-03-10,6.633888866666666
2023-03-11,4.943229125
2023-03-12,5.06979175
2023-03-13,6.019852941176471
2023-03-14,2.439062375
2023-03-15,2.172395875
2023-03-16,6.443888933333333
2023-03-17,17.9802085
2023-03-18,7.165624875
2023-03-19,3.673039294117647
2023-03-20,9.694270875
2023-03-21,10.405729125
2023-03-22,7.461388866666667
2023-03-23,19.748958375
2023-03-24,7.7515625
2023-03-25,5.573039235294117
2023-03-26,6.60833325
2023-03-27,5.7955616249999995
2023-03-28,5.081944466666667
2023-03-29,5.853509875
2023-03-30,4.00677075
2023-03-31,9.393382352941176
2023-04-01,9.5390625
2023-04-02,2.652083375
2023-04-03,5.764660928571429
2023-04-04,12.22604175
2023-04-05,9.736979125
2023-04-06,11.476715705882352
2023-04-07,3.889062375
2023-04-08,4.873958375
2023-04-09,5.9410715
2023-04-10,8.5953125
2023-04-11,10.25416675
2023-04-12,11.124264705882354
2023-04-13,14.86875
2023-04-14,18.27604175
2023-04-15,7.182738071428572
2023-04-16,8.670833375
2023-04-17,7.873437625
2023-04-18,4.162745058823529
2023-04-19,5.91979175
2023-04-20,7.675520875
2023-04-21,8.951602615384616
2023-04-22,13.207407444444444
2023-04-23,4.600520875
2023-04-24,4.8598958125
2023-04-25,6.7828125
2023-04-26,8.527355125
2023-04-27,10.2238095
2023-04-28,9.310937625
2023-04-29,4.97708325
2023-04-30,3.411519588235294
2023-05-01,3.627083333333333
2023-05-02,3.02291675
2023-05-03,3.039285714285714
2023-05-04,5.954166625
2023-05-05,6.9026042499999996
2023-05-06,5.481862764705882
2023-05-07,5.826562625
2023-05-08,4.968229125
2023-05-09,4.984615461538462
2023-05-10,7.547894
2023-05-11,13.674999875
2023-05-12,15.593627529411766
2023-05-13,13.26875
2023-05-14,7.7484375
2023-05-15,5.603869
2023-05-16,8.394270875
2023-05-17,5.35364575
2023-05-18,4.371813705882353
2023-05-19,6.465625125
2023-05-20,5.70416675
2023-05-21,11.394642928571429
2023-05-22,16.056770750000002
2023-05-23,9.458854125
2023-05-24,7.87475494117647
2023-05-25,3.73385425
2023-05-26,4.659375
2023-05-27,6.236011857142857
2023-05-28,5.999999875
2023-05-29,10.464583375
2023-05-30,10.7153645625
2023-05-31,12.90052075
2023-06-01,15.279166625
2023-06-02,14.974404857142858
2023-06-03,11.919444444444444
2023-06-04,4.3880208750000005
2023-06-05,11.321388866666666
2023-06-06,88.80925933333333
2023-06-07,189.993908625
2023-06-08,82.40384615384616
2023-06-09,12.16354175
2023-06-10,14.753645875
2023-06-11,27.868627411764706
2023-06-12,25.29010425
2023-06-13,8.056770875
2023-06-14,9.284523785714285
2023-06-15,8.1359375
2023-06-16,11.579687375
2023-06-17,24.60269611764706
2023-06-18,17.6958335
2023-06-19,8.147395875
2023-06-20,6.589880928571428
2023-06-21,4.3890625
2023-06-22,4.948437375
2023-06-23,6.471813705882353
2023-06-24,9.4671875
2023-06-25,11.2770835
2023-06-26,11.269047714285716
2023-06-27,10.51354175
2023-06-28,14.272916500000001
2023-06-29,34.19117647058823
2023-06-30,61.553125
2023-07-01,36.484375
2023-07-02,21.807142857142857
2023-07-03,8.27291675
2023-07-04,23.7927085
2023-07-05,23.039453736842106
2023-07-06,10.1558334
2023-07-07,9.190277833333333
2023-07-08,9.889814777777778
2023-07-09,6.577430583333334
2023-07-10,4.705902833333333
2023-07-11,11.1549094
2023-07-12,14.803472166666666
2023-07-13,14.284933666666667
2023-07-14,11.233007200000001
2023-07-15,8.936250099999999
2023-07-16,5.942718888888889
2023-07-17,17.666317944444444
2023-07-18,18.524166700000002
2023-07-19,32.559166700000006
2023-07-20,19.786458375
2023-07-21,10.9799999
2023-07-22,6.14875
2023-07-23,9.520175421052631
2023-07-24,9.0454167
2023-07-25,8.7995834
2023-07-26,14.815364562500001
2023-07-27,14.045773800000001
2023-07-28,10.818121666666666
2023-07-29,7.381359684210526
2023-07-30,4.11375
2023-07-31,5.9895833
2023-08-01,5.1783853749999995
2023-08-02,3.9479167000000004
2023-08-03,4.456721
2023-08-04,12.44586194736842
2023-08-05,17.15875
2023-08-06,17.785416599999998
2023-08-07,11.81578125
2023-08-08,5.004461222222222
2023-08-09,11.5933332
2023-08-10,12.429275055555555
2023-08-11,13.018872555555555
2023-08-12,11.145
2023-08-13,6.164583375
2023-08-14,6.8091667000000005
2023-08-15,7.114583400000001
2023-08-16,5.3315740555555555
2023-08-17,5.9522727
2023-08-18,7.3329386
2023-08-19,9.402083375
2023-08-20,12.7054167
2023-08-21,18.365000000000002
2023-08-22,9.239473684210527
2023-08-23,5.4040152
2023-08-24,5.6371212
2023-08-25,7.9453125
2023-08-26,8.7658333
2023-08-27,6.3800001
2023-08-28,7.871271947368421
2023-08-29,5.287433777777777
2023-08-30,5.45572925
2023-08-31,3.6318375384615385
2023-09-01,3.9865739999999996
2023-09-02,5.742361222222223
2023-09-03,10.501973684210526
2023-09-04,13.3295834
2023-09-05,15.3366667
2023-09-06,15.529282
2023-09-07,12.8775001
2023-09-08,12.3058333
2023-09-09,12.669517578947369
2023-09-10,7.22875
2023-09-11,6.2270834
2023-09-12,6.3166666875
2023-09-13,5.664203
2023-09-14,4.2733333
2023-09-15,4.577546222222222
2023-09-16,5.8219697272727275
2023-09-17,6.6102412
2023-09-18,5.5291666875
2023-09-19,6.87
2023-09-20,6.3404166
2023-09-21,6.3335526842105265
2023-09-22,5.8708334
2023-09-23,3.6283333
2023-09-24,1.7455555333333335
2023-09-25,5.1491667
2023-09-26,13.355270666666666
2023-09-27,7.023280263157895
2023-09-28,9.5995834
2023-09-29,4.2304167
2023-09-30,8.884166666666665
2023-10-01,12.1408333
2023-10-02,12.209999999999999
2023-10-03,14.463425888888887
2023-10-04,15.273814272727272
2023-10-05,9.533460100000001
2023-10-06,8.6322916875
2023-10-07,6.3130953
2023-10-08,2.878645875
2023-10-09,4.49947925
2023-10-10,7.751111222222223
2023-10-11,10.551249899999998
2023-10-12,11.4388020625
2023-10-13,3.6229166999999998
2023-10-14,4.0529167
2023-10-15,2.9495613684210524
2023-10-16,2.38
2023-10-17,4.9266667
2023-10-18,7.117708375
2023-10-19,7.556666699999999
2023-10-20,5.900926
2023-10-21,3.6529629444444445
2023-10-22,2.2895834
2023-10-23,3.3845833999999995
2023-10-24,6.078125
2023-10-25,9.595370333333333
2023-10-26,13.6507143
2023-10-27,14.619079
2023-10-28,9.0541667
2023-10-29,2.8784901111111107
2023-10-30,6.2946259375
2023-10-31,2.89427075
2023-11-01,5.147916700000001
2023-11-02,4.5412280526315785
2023-11-03,6.647523100000001
2023-11-04,12.1354167
2023-11-05,14.82734375
2023-11-06,7.6894203
2023-11-07,15.924673899999998
2023-11-08,3.668101833333333
2023-11-09,8.60625
2023-11-10,5.216870375
2023-11-11,6.0568452142857145
2023-11-12,4.27604175
2023-11-13,8.32144475
2023-11-14,5.4424019999999995
2023-11-15,5.993229125
2023-11-16,17.231249875
2023-11-17,10.358306285714287
2023-11-18,4.222395875
2023-11-19,5.549479
2023-11-20,3.11640625
2023-11-21,4.621354125
2023-11-22,3.922916625
2023-11-23,3.9800595
2023-11-24,5.46197925
2023-11-25,5.81979175
2023-11-26,7.7109374375
2023-11-27,5.3984375
2023-11-28,4.296354125
2023-11-29,5.995833307692307
2023-11-30,10.785714285714286
2023-12-01,15.26458325
2023-12-02,23.39313723529412
2023-12-03,9.087499875
2023-12-04,4.90364575
2023-12-05,3.936309571428571
2023-12-06,3.652604125
2023-12-07,10.859259333333334
2023-12-08,15.120175421052632
2023-12-09,18.9487501
2023-12-10,11.8624999
2023-12-11,2.0973958125
2023-12-12,5.6187499
2023-12-13,6.72125
2023-12-14,4.472806947368421
2023-12-15,11.1944565
2023-12-16,11.1683334
2023-12-17,9.482777800000001
2023-12-18,5.079907444444444
2023-12-19,3.0616667
2023-12-20,5.2546433684210525
2023-12-21,5.847916700000001
2023-12-22,7.3629166
2023-12-23,9.3481770625
2023-12-24,19.1024999
2023-12-25,20.9283333
2023-12-26,18.399561421052635
2023-12-27,12.0306341
2023-12-28,4.314583300000001
2023-12-29,5.9630208125
2023-12-30,5.4900001000000005
2023-12-31,5.0325001
